IDCOMPANY;COD_CDC;DESC_CDC;INIZIO_CDC;FINE_CDC;COD_DETT;DESC_DETT;INIZIO_DETT;FINE_DETT;FLATTR;DTSTARTVL;DTENDVL
000001;32;ASH Brugherio;01-01-1800;31-12-2999;AAA;NON DEFINITO;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;AAA;NON DEFINITO;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;AAM;AAM;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ABDALR-DIR;AbdAlrafat-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ABDALR-IND;AbdAlrafat-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ABDRAF-DIR;AbdRafied-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ABDRAF-IND;AbdRafied-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ABDYOU-DIR;AbdYoussef-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ABDYOU-IND;AbdYoussef-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ABRALE-DIR;AbrAlessandro;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;ABRALE-DIR;AbrAlessandro;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ABRALE-IND;AbrAlessandro-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;ABRALE-IND;AbrAlessandro-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ACHLEO-DIR;AchRiveraLeonardo-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ACHLEO-IND;AchRiveraLeonardo-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;AFFMAT-DIR;AffMattia-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;AFFMAT-IND;AffMattia-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ALBLUC-DIR;AlbLuca-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;ALBLUC-DIR;AlbLuca-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ALBLUC-IND;AlbLuca-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;ALBLUC-IND;AlbLuca-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ALBMAR-DIR;AlbMarco-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;ALBMAR-DIR;AlbMarco-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ALBMAR-IND;AlbMarco-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;ALBMAR-IND;AlbMarco-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ALBSAB-DIR;AlbSabrina-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;ALBSAB-DIR;AlbSabrina-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ALBSAB-IND;AlbSabrina-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;ALBSAB-IND;AlbSabrina-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ALIDAN-DIR;AliDaniele-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;ALIDAN-IND;AliDaniele-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ALYMAL-DIR;AlyMalek-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;ALYMAL-DIR;AlyMalek-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;ALYMAL-IND;AlyMalek-indirette;01-01-1800;31-12-2999;;;
